city,dataset,n_buildings,n_bootstrap,random_seed,confidence_level,vol_reference,vol_dataset_observed,vol_error_observed,vol_error_pct_observed,vol_error_pct_bootstrap_mean,vol_error_pct_bootstrap_median,vol_error_pct_bootstrap_std,vol_error_pct_ci_lower,vol_error_pct_ci_upper,vol_error_pct_ci_width,vol_error_bootstrap_mean,vol_error_bootstrap_median,vol_error_bootstrap_std,vol_error_ci_lower,vol_error_ci_upper,vol_error_ci_width,height_min_constraint,height_max_constraint,n_clipped_low_ref,n_clipped_high_ref,n_clipped_low_dataset,n_clipped_high_dataset,low_rise_n,low_rise_vol_error,low_rise_vol_error_pct,mid_rise_n,mid_rise_vol_error,mid_rise_vol_error_pct,high_rise_n,high_rise_vol_error,high_rise_vol_error_pct
amsterdam,gba,121085,5000,42,0.95,151855368.85393155,163739939.57740715,11884570.723475605,7.826243361146671,7.8390122293395095,7.8356855094440405,0.9627417057489027,5.919609750785643,9.726885329986562,3.807275579200919,11894583.644612966,11890994.385768652,1429815.9581768916,9042117.444453154,14664867.948892204,5622750.50443905,2.0,600.0,0,0,4674,0,106064,19920968.137710333,28.008249337244028,14531,-1179572.5066211522,-2.0302343310793463,490,-6856824.907613566,-30.30011980759802
amsterdam,globfp,76705,5000,42,0.95,150488894.51644155,247324995.33259988,96836100.81615832,64.34767238294688,64.3669412131263,64.37445357621655,1.724384542116492,60.98452910001949,67.71738991392624,6.732860813906747,96858201.06481808,96873518.80625463,2254730.6447720225,92489008.90577728,101225507.09022468,8736498.184447408,2.0,600.0,0,0,185,0,65490,74213549.56804569,96.53292662820459,10855,25124063.475895427,45.70239580962341,360,-2501512.227782864,-13.422501484841625
paris,gba,124816,2500,42,0.95,575884666.9292322,348756604.7146634,-227128062.21456885,-39.43985232766747,-39.4360453004927,-39.437001740621106,0.23043690300194294,-39.88286703080022,-38.97875235348428,0.9041146773159383,-227096569.19252828,-227061757.94355515,2732637.9606154603,-232427334.66773584,-222002992.7555368,10424341.91219905,2.0,600.0,0,0,1171,0,30845,-688968.7823429741,-3.158891172763919,74164,-100579592.9267993,-36.00358991945404,19807,-125859500.5054264,-45.814687751948235
paris,globfp,18219,1000,42,0.95,669071343.7766911,691057641.9449039,21986298.16821277,3.2860917408459365,3.262710918120677,3.270582585480991,0.5990599579043348,2.1043966838136012,4.433016482105051,2.32861979829145,21818808.98999132,21848372.28638965,3911493.8576081716,14233305.574503995,29318191.96194095,15084886.387436956,2.0,600.0,0,0,4,0,6544,8631095.74440158,84.14636959387548,7282,26823734.516415685,11.836699027356913,4393,-13468532.092604578,-3.1162794509115894
toronto,gba,171525,10000,42,0.95,326844477.9536693,265471149.5688388,-61373328.384830505,-18.77753259564944,-18.77636320891956,-18.772094121278236,0.3648381458021234,-19.50230731027588,-18.06129312867165,1.4410141816042312,-61366856.99961345,-61324394.65446505,1640304.5376118096,-64716044.00592263,-58254032.47288702,6462011.533035614,2.0,600.0,0,0,782,0,161185,-22051083.56962192,-10.27769843636477,9376,-16836537.154413067,-32.11226689463341,964,-22485707.66079563,-37.56288534298796
toronto,globfp,44273,5000,42,0.95,79712902.97212432,97075759.45123175,17362856.479107425,21.78173900551487,21.774493284834456,21.29605914923657,4.503697868443878,15.004017144056483,32.21432573177684,17.210308587720355,17379182.16039541,16906650.784009136,3762393.191140155,11788339.778064873,25983507.63811904,14195167.860054165,2.0,600.0,0,0,0,0,41510,18679592.02978223,34.73775427204854,2581,-405829.151327895,-2.535205501851446,182,-910906.399346916,-9.17143887125378
hongkong,gba,13703,15000,42,0.95,207194401.1377838,203885915.72574958,-3308485.4120342135,-1.5968025167987423,-1.5749884077446001,-1.5914174357454542,1.4728352544186074,-4.395243347765819,1.4128890381787336,5.808132385944552,-3270505.977463368,-3293304.1454135776,3071296.8409507936,-9196711.733866125,2919105.747674868,12115817.481540993,2.0,600.0,0,0,188,0,3842,1918192.2130784532,39.075913144005916,4101,3567250.644828301,20.15239496360432,5760,-8793928.269940972,-4.764184073900555
hongkong,globfp,19957,5000,42,0.95,187502956.51864204,150031914.84721616,-37471041.67142588,-19.984240444603554,-19.979834545944374,-19.991084896921087,0.740644317509614,-21.37353948014415,-18.545595852084436,2.827943628059714,-37468216.443793796,-37480117.22515556,1828845.695159137,-41029653.15026081,-33910254.61907806,7119398.531182751,2.0,600.0,0,0,286,0,5845,7514903.145581197,149.66331404141212,6064,6612372.449719615,33.066186191418694,8048,-51598317.26672673,-31.755865842720038
